tweets
"b""I 'm Chick-fil-A Winchester , VA"""
"b'Dinning Alfresco . ( _Osteria 14th Washington DC , DC )'"
"b'Getting My Toes Done . Pool Season Starts Next Weekend @ Washington Plaza Hotel . ( @ Lovely Nails Washington , DC )'"
"b""I 'm Washington , DC"""
"b""Something I often n't . Grocery shopping . I 'm like kid . Got keep pushing along . ( )"""
"b""I 'm Washington , DC"""
"b'Dining Out For Life . ( Washington , DC )'"
"b""I 'm Washington , DC"""
"b""Moody 's Party . See perform 4pm . : - ) ( @ Town Danceboutique - Washington , DC )"""
"b""I 'm Rice Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm Flagship Carwash Center Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Tempura sweet patoto sushi roll . Mmm ! ( @ Baan Thai / Tsunami Sushi Washington , DC )'"
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington , DC"""
"b'Wizard Game . Box seats . ( Washington , DC )'"
"b""I 'm TRADE Washington , D.C ."""
"b'Birthday Dinner Bruce ( Washington , DC )'"
"b""It 's My Birthday ... It 's My Birthday ! ( @ Georgetown Cupcake - Washington , DC )"""
"b'My Birthday Lunch Bruce . ( @ Lafayette Square Park Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm TRADE Washington , D.C ."""
"b""I 'm Rice Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Shopping new convertible ( @ Audi Tysons Corner Vienna , VA )'"
"b""I 'm Rice Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b'Now something new . ( @ Foundry United Methodist Church Washington , DC )'"
"b'Birthday Dinner Bruce ( @ Acadiana - Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Henderson , NC"""
"b""Gay Men 's Chorus ( @ The Lincoln Theatre - Washington , DC )"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Christmas Tree Buying . Let tree decorating begin . ( @ Old City Farm & amp ; Guild Washington D.C. , DC )'"
"b""I 'm Rice Washington , DC"""
"b""I 'm . 14th Street Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Just open . From owners Mintwood ( @ Convivial Washington , DC )'"
"b""I 'm Al Crostino Washington , D.C ."""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm 17th Street High Heel Race Washington , D.C. w/"""
"b""I 'm Anne Arundel Medical Center Annapolis , MD"""
"b""I 'm Posto - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Iowa Condominium Rooftop Washington , D.C ."""
"b""I 'm Virginia Farm Market Winchester , VA"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm _Osteria 14th Washington DC , DC"""
"b""I 'm Iowa Condominium Rooftop Washington , D.C ."""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Steakhouse Washington , DC"""
"b""I 'm Town Danceboutique - Washington , DC"""
"b'Good Ending To The Week ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm . 14th Street Washington , DC"""
b'Cursing lake ( @ Beech Mountain Lake PA )'
"b'Let The Sun Shine : - ) ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Wish You Were Here . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Rice Washington , DC"""
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Washington , DC"""
"b'Washington Oasis ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _DC Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'This Is How I Do It . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Posto - Washington , DC"""
"b""I 'm Logan Tavern Washington , DC"""
"b""I 'm Beau Thai Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington , DC"""
"b'Hanging Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'This place busy . Great people watching . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Pool Time . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Need I Say More . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Sit Back And Enjoy The Senery . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Alphonse Italian Market & amp ; Osteria Washington , DC"""
"b""I 'm Town Danceboutique - Washington , DC"""
"b'Beautiful Sunny Day . Ahhh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'A Sweet Reward I Truly Love . ( @ Georgetown Cupcake - Washington , DC )'"
b'Ahhh ! A Getaway From All The July 4th Madness . ( @ Washington Plaza Hotel Pool )'
"b""I 'm . 14th Street Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Busy Night . Is really worth . YEAH ! ( _DC Washington , DC )'"
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Washington , DC"""
"b""It 's Pool Time ! ( @ Washington Plaza Hotel Pool Washington , DC )"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Pool Time . Working On My Tan . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _DC Washington , DC"""
"b'Squeezing pool time . Ahh ! ( @ Thomas Circle Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Rice Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm _DC Washington , DC"""
"b""I 'm Thomas Circle Washington , DC"""
"b""I 'm Town Danceboutique - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Provision No . 14 - Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm MedStar Washington Hospital Center Washington , DC"""
"b""I 'm Town Danceboutique - Washington , DC"""
"b""I 'm _Osteria 14th Washington DC , DC"""
"b'Dine Out For Life ( @ Posto - Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm R. Adams Cowley Shock Trauma Center ( UMMC ) Baltimore , MD"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm MedStar Washington Hospital Center - Washington , DC"""
"b'Birthday dinner . ( @ Kapnos Washington , DC )'"
"b""I 'm El Centro D.F . 14th Street Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm Matchbox Vintage Pizza Bistro - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm JR 's Bar & amp ; Grill Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Town Danceboutique - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Stoney 's Restaurant - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Whole Foods Market Washington , DC"""
"b""I 'm Washington , DC"""
"b'# ( Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Teak Wood Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm _Gourmet Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Posto - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Westin Georgetown , Washington D.C. Washington , DC"""
"b""I 'm Washington , DC"""
"b'( @ MedStar Washington Hospital Center - Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Logan Hardware - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Iowa Washington , DC"""
"b""I 'm Washington , DC w/"""
"b""I 'm Washington , DC"""
"b""I 'm Matchbox Vintage Pizza Bistro - Washington , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm Rice ( Washington , DC )"""
"b""I 'm Washington Plaza Hotel Pool ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm . ( Washington , DC ) w/ 8 others"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Washington Plaza Hotel Pool ( Washington , DC )"""
b'Fireworks Time ( @ Lafayette Square Park w/ 3 others )'
b'Happy 4th ( @ Washington Plaza Hotel Pool )'
"b""I 'm ( Washington , DC )"""
"b""I 'm WHC Physicians Office Building ( Washington , DC )"""
"b""I 'm washington hospital center radiology ( Washington , DC )"""
"b""I 'm washington hospital center radiology ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
b'Filming movie right . Wow ! ( @ Thomas Circle )'
"b""I 'm Washington Plaza Hotel Pool ( Washington , DC )"""
"b""I 'm Washington Plaza Hotel Pool ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
b'Chill Out Time ... ( @ Washington Plaza Hotel Pool )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Pool Time ! ( @ Washington Plaza Hotel Pool )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""Ahh ! ! ! It 's Going To Be Lazy Sun Filled Afternoon . Happy To Be A M ..."""
"b""I 'm ( Washington , DC ) w/ 5 others"""
b'Pool Season Begins . Now bring much needed sun . ( @ Washington Plaza Hotel Pool )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 6 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Restaurant ( Washington , DC ) w/ 8 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 6 others"""
"b""I 'm WHC Physicians Office Building ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
b'Dine Out For Life ( @ Posto - )'
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Green Lantern ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm Ted 's Bulletin ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""Moody 's `` I Love Moocy '' Party ( @ Town Danceboutique - w/ 2 others )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm . ( Washington , DC ) w/ 6 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Providence Hospital ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Birthday Brunch ( Grill )'
b'Birthday Dinner Bruce . ( @ Doi Moi )'
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Restaurant ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Yes . We open . : - ) ( )'
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC ) w/ 5 others"""
b'Iowa Condominium Condo Meeting ( @ Washington Plaza Hotel )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Yum ! ( @ Georgetown Cupcake - w/ 4 others )'
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Home Sweet Home . ( @ The Iowa )'
"b""I 'm Walter E. Washington Convention Center - Hall C - ( Washington , DC ) w/ 12 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Leather Time ! ( @ Hyatt Regency Washington w/ 9 others )'
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Teak Wood ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm El Centro D.F . ( Washington , DC )"""
"b""I 'm JR 's Bar & amp ; Grill ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm Town Danceboutique - ( Washington , DC ) w/ 5 others"""
"b""Gay Men 's Chours ( @ Lisner Auditorium - w/ 12 others )"""
b'MEMBER APPRECIATION DAY ( )'
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Time get 8 ft Christmas Tree . ( @ Old City Farm & amp ; Guild w/ 2 others ) [ pic ] :'
b'Yes . We Are Open Today . ( )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Medical Faculty Associates ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""Mmm ! ! ! Time let hair . And start `` Lip Smack ' n '' way . ( @ Henry 's Soul Caf )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm United States National Arboretum - _mem_arb ( Washington , DC )"""
"b""I 'm Doi Moi ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""My Milkshake ... Yum ! ( @ Ted 's Bulletin w/ 6 others )"""
"b""I 'm Matchbox Vintage Pizza Bistro - ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm Posto - ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Town Danceboutique - ( Washington , DC ) w/ 21 others"""
"b""I 'm The Iowa ( Washington , DC )"""
b'Pies ( @ Virginia Farm Market )'
"b""I 'm The Iowa ( Washington , DC )"""
b'Yeah ! ! ! ( @ Georgetown Cupcake - w/ 7 others )'
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Restaurant ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Member Appreciation Day . Thank You . ( )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""Sleep Study . Wow . Goodnight y'all . ( @ 2021 K Street NW )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
b'The Season Membership Comes To An End . : - ( ( @ Washington Plaza Hotel Pool ) [ pic ] :'
"b""I 'm Nellie 's Sports Bar - ( Washington , DC ) w/ 8 others"""
"b""`` 14th Street NW ; New Hot Spot Washington DC . Many new high end res ... '' @ Washington Plaza Hotel Pool : # foursquare"""
b'Being On The Sun . ( @ Washington Plaza Hotel Pool ) [ pic ] :'
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
b'This Has Been A Fun Season At The Washington Plaza Pool . See You There Next Season . [ pic ] :'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm Medical Faculty Associates ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm Town Danceboutique - ( Washington , DC ) w/ 17 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""Yeah ! That 's Right ! Doing Little Of This And Little Of That . ( @ Washington Plaza Hotel Pool ) [ pic ] :"""
"b""I 'm ( Washington , DC ) w/ 6 others"""
"b""I 'm Rice ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I Ca n't Sleep . A Fun New Option . Casino Time . Lady Luck ; I Hope Your Here ! ( @ Maryland Live ! Casino )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Matchbox Vintage Pizza Bistro - ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC ) w/ 6 others"""
b'So Long New York . ( @ DC2NY )'
b'My first time . Girl Got ta Eat ! ( w/ 16 others )'
"b""I 'm ( New York , NY )"""
b'New York I come ! ( @ DC2NY )'
b'Joel best bartender . ( w/ 5 others )'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'This Is Ron Time . Ahh ! ! ! ( @ Washington Plaza Hotel Pool ) [ pic ] :'
"b""I 'm Back ! ( @ Washington Dulles International Airport ( IAD ) - _airport w/ 49 others )"""
"b""Unlocked `` JetSetter '' badge !"""
"b""My trip nears 's end . Off Prague tomorrow . ( @ Nuremberg Docks - Avalon Vista ) [ pic ] :"""
"b""I 'm Regensburg-Ostentor ( Regensburg , Deutschland ) [ pic ] :"""
"b""I 'm Radfhre Grein-Wiesen ( Grein , Austria )"""
b'Time bed ... ( @ Pier 3 )'
"b""Off To Budapest/ Prague Tomorrow . Medi/Pedi Time . So ... Good bye 'll . ( @ Lovely Nails )"""
"b""I 'm still mayor The Iowa !"""
"b""Home watching `` Finding Nemo '' Encore . What fun movie . ( @ The Iowa ) [ pic ] :"""
"b""I 'm ( Washington , DC )"""
b'Happy Hour . : - ) ( @ Washington Plaza Hotel Pool ) [ pic ] :'
b'Ahh ! ! ! Let The Sunshine In . ( @ Washington Plaza Hotel Pool ) [ pic ] :'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 7 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC ) w/ 3 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b'Sun & amp ; People Watching . Fab Life . Should Have A Good Tan For Trip : Budapest , Austria , Germany And Prague In 2 Weeks .'"
"b""I 'm Meiwah ( Washington , DC )"""
b'Packed House . ( @ Green Lantern w/ 2 others )'
"b""Happy 4th y'all ! ( @ Washington Plaza Hotel Pool ) [ pic ] :"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
b''
b'Being Fabulous . ( @ Washington Plaza Hotel Pool ) [ pic ] :'
b'FrontRunners Fun Run . Tone body rid impurities within body . Good day run .'
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
b'Check Washington Plaza Hotel Pool ( Washington D.C. ) :'
"b""Check Henry 's Soul Caf ( 1704 U St NW , 17th St. , Washington ) :"""
"b'Check Lovely Nails ( 2018 Florida Ave NW , Washington ) :'"
b'Time soak sun . ( @ Washington Plaza Hotel Pool ) [ pic ] :'
"b""I 'm ( Washington , DC )"""
"b'Check Vida Fitness ( 1517 15th St NW , P St NW , Washington ) :'"
"b'Check The Iowa ( Washington , DC ) :'"
"b""I 'm Vida Fitness ( 1517 15th St NW , P St NW , Washington )"""
b'Fun In The Sun ( @ Washington Plaza Hotel Pool ) [ pic ] :'
b'Nice ! First time back since February .'
b'Glass champaign pedicure manicure . Ahh ! Life good . ( @ Lovely Nails )'
b'Little pool time DC Pride Parade . ( @ Washington Plaza Hotel Pool ) [ pic ] :'
b'Ahh ! ! ! Beautiful Day . Time To Relax . ( @ Washington Plaza Hotel Pool ) [ pic ] :'
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Grassroots Gourmet - ( Washington , DC )"""
"b""I 'm El Centro D.F . ( Washington , DC ) w/ 10 others"""
"b""I 'm Washington Plaza Hotel Pool ( Washington D.C. , D.C . )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm DC2NY Rehoboth Beach DC ( Rehoboth Beach , DE )"""
"b""I 'm Posto ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Hank 's Oyster Bar ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Le Diplomate ( Washington , DC ) w/ 7 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Georgetown Cupcake - ( Washington , DC ) w/ 3 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Brasserie Beck - ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
b'Time To Vote . ( @ Metropolitan AME Church w/ 5 others ) [ pic ] :'
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Luna Grill & amp ; Diner ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 6 others"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm ( Washington , DC ) w/ 7 others"""
